source_id,material_label,notes,SiO2_mol_frac,Na2O_mol_frac,GeO2_mol_frac,E_GPa,rho_kg_m3,family,TiO2_mol_frac,PbO_mol_frac,RO_mol_frac,WO3_mol_frac,Bi2O3_mol_frac,ZrO2_mol_frac,K2O_mol_frac,Li2O_mol_frac,MgO_mol_frac,CaO_mol_frac,ZnO_mol_frac,SrO_mol_frac,B2O3_mol_frac,Al2O3_mol_frac,BaO_mol_frac,alpha_1e6_K,P2O5_mol_frac,FemOn_mol_frac
SG-217-20172,SG-217-20172,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.03865131616592407,0.03865131616592407,0.27412281036376956,32.900001525878906,4822.999954223633,other,,,,,,,,,,,,,,,,,,
SG-217-20173,SG-217-20173,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10938712120056153,0.10938712120056153,0.7757951354980469,68.30000305175781,3819.999933242798,germanate,,,,,0.005430566072463989,,,,,,,,,,,,,
SG-217-20174,SG-217-20174,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10879630088806153,0.10879630088806153,0.7716049194335938,68.0,3868.000030517578,germanate,,,,,0.010802469253540038,,,,,,,,,,,,,
SG-217-20175,SG-217-20175,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10755148887634275,0.10755148887634275,0.7627764892578125,66.80000305175781,3980.9999465942383,germanate,,,,,0.022120518684387205,,,,,,,,,,,,,
SG-217-20176,SG-217-20176,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10617470741271973,0.10617470741271973,0.7530120849609375,67.19999694824219,4010.000228881836,germanate,,,,,0.03463855504989624,,,,,,,,,,,,,
SG-217-20177,SG-217-20177,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10467706680297852,0.10467706680297852,0.7423905181884766,66.19999694824219,4164.999961853027,germanate,,,,,0.04825538158416748,,,,,,,,,,,,,
SG-217-20178,SG-217-20178,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10114778518676758,0.10114778518676758,0.7173601531982422,65.5,4289.999961853027,germanate,,,,,0.0803443431854248,,,,,,,,,,,,,
SG-217-20179,SG-217-20179,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.09908642768859863,0.09908642768859863,0.7027406311035156,64.69999694824219,4553.999900817871,germanate,,,,,0.09908642768859863,,,,,,,,,,,,,
SG-217-20180,SG-217-20180,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.09825783729553224,0.09825783729553224,0.6968640899658203,64.5,4703.999996185303,germanate,,,,,0.10662020683288574,,,,,,,,,,,,,
SG-217-20181,SG-217-20181,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.0942513370513916,0.0942513370513916,0.6684491729736328,63.900001525878906,4783.999919891357,germanate,,,,,0.14304812431335448,,,,,,,,,,,,,
SG-217-20182,SG-217-20182,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.09138042449951173,0.09138042449951173,0.6480880737304687,63.70000076293945,5110.000133514404,germanate,,,,,0.1691510009765625,,,,,,,,,,,,,
SG-217-20183,SG-217-20183,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.08806995391845703,0.08806995391845703,0.6246096038818361,63.400001525878906,5306.000232696533,germanate,,,,,0.19925046920776368,,,,,,,,,,,,,
SG-217-20184,SG-217-20184,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.08422939300537109,0.08422939300537109,0.5973715591430664,62.5,5684.999942779541,germanate,,,,,0.23416963577270508,,,,,,,,,,,,,
SG-218-20108,SG-218-20108,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.1855817222595215,0.10064239501953123,0.7137758636474609,70.4000015258789,3714.999914169312,germanate,,,,,,,,,,,,,,,,,,
SG-218-20109,SG-218-20109,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.22644067764282227,0.09559322357177734,0.677966079711914,70.30000305175781,3611.999988555908,germanate,,,,,,,,,,,,,,,,,,
SG-218-20110,SG-218-20110,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.3021406745910645,0.0862385368347168,0.6116207885742189,69.80000305175781,3457.0000171661377,germanate,,,,,,,,,,,,,,,,,,
